AMOUNT;p1_Fraud;p2_Fraud;p3_Fraud;p4_Fraud;p5_Fraud;CLASS
1095;0.1717;0.3060;0.1873;0.2687;0.2060;G
919;0.0275;0.1330;0.0300;0.2110;0.0330;G
2739;0.0425;0.1510;0.0464;0.2170;0.0510;G
;0.6910;0.7910;0.7910;0.5303;0.9910;F
;0.1000;0.2200;0.1091;0.2400;0.1200;G
100;0.3117;0.4740;0.3400;0.3247;0.3740;G
100;0.1608;0.2930;0.1755;0.2643;0.1930;G
2739;0.0833;0.2000;0.0909;0.2333;0.1000;G
5;0.4920;0.5920;0.3420;0.4640;0.7920;G
;0.3760;0.4760;0.2260;0.4253;0.6760;G
8322;0.0142;0.1170;0.0155;0.2057;0.0170;G
250;0.3208;0.4850;0.3500;0.3283;0.3850;G
50;0.4920;0.5920;0.3420;0.4640;0.7920;G
5000;0.0217;0.1260;0.0236;0.2087;0.0260;G
50;0.6060;0.7060;0.4560;0.5020;0.9060;G
13600;0.5610;0.6610;0.4110;0.4870;0.8610;G
50;0.6060;0.7060;0.4560;0.5020;0.9060;G
50;0.6120;0.7120;0.4620;0.5040;0.9120;G
7872;0.0983;0.2180;0.1073;0.2393;0.1180;G
351000.1700;0.1642;0.2970;0.1791;0.2657;0.1970;G
3000;0.3267;0.4920;0.3564;0.3307;0.3920;G
22000;0.3617;0.2340;0.3945;0.3447;0.4340;G
2250;0.0133;0.1160;0.0145;0.2053;0.0160;G
3200;0.0983;0.2180;0.1073;0.2393;0.1180;G
2250;0.0483;0.1580;0.0527;0.2193;0.0580;G
6500;0.3500;0.4500;0.2000;0.4167;0.6500;G
5000;0.0267;0.1320;0.0291;0.2107;0.0320;G
200;0.6770;0.7770;0.5270;0.5257;0.9770;G
1000;0.3425;0.2110;0.3736;0.3370;0.4110;G
1000;0.0583;0.1700;0.0636;0.2233;0.0700;F
850;0.0575;0.1690;0.0627;0.2230;0.0690;G
7825;0.1767;0.3120;0.1927;0.2707;0.2120;G
1000;0.3280;0.4280;0.1780;0.4093;0.6280;G
2500;0.0683;0.1820;0.0745;0.2273;0.0820;F
135;0.1233;0.2480;0.1345;0.2493;0.1480;F
100;0.4050;0.2860;0.4418;0.3620;0.4860;G
50;0.4050;0.2860;0.4418;0.3620;0.4860;G
4500;0.0467;0.1560;0.0509;0.2187;0.0560;G
850;0.0500;0.1600;0.0545;0.2200;0.0600;G
500500;0.2970;0.3970;0.5427;0.3990;0.5970;G
133.2600;0.6910;0.7910;0.5410;0.5303;0.9910;G
3000;0.3583;0.2300;0.3909;0.3433;0.4300;G
16.4600;0.6900;0.7900;0.5400;0.5300;0.9900;G
115;0.6850;0.7850;0.5350;0.5283;0.9850;G
25000;0.4780;0.5780;0.3280;0.4593;0.7780;G
50.3100;0.0542;0.1650;0.0591;0.2217;0.0650;G
60;0.6420;0.7420;0.4920;0.5140;0.9420;G
100;0.6910;0.7910;0.5410;0.5303;0.9910;G
0;0.6760;0.7760;0.5260;0.9760;0.9760;G
60;0.6730;0.7730;0.5230;0.5243;0.9730;G
50;0.6910;0.7910;0.5410;0.5303;0.9910;G
4566;0.1317;0.2580;0.1436;0.2527;0.1580;G
7000;0.3660;0.6660;0.7873;0.4887;0.8660;F
30;0.6260;0.7260;0.4760;0.5087;0.9260;G
100;0.6910;0.7910;0.5410;0.5303;0.9910;G
20;0.6910;0.7910;0.5410;0.5303;0.9910;G
2300;0.0283;0.1340;0.0309;0.2113;0.0340;G
350;0.3010;0.4010;0.1510;0.4003;0.6010;G
5029.7200;0.0875;0.2050;0.0955;0.2350;0.1050;G
0;0.3310;0.4310;0.1810;0.4103;0.6310;G
5061.7200;0.0608;0.1730;0.0664;0.2243;0.0730;G
3000;0.6950;0.7950;0.9045;0.5317;0.9950;F
0;0.4900;0.7900;0.9000;0.5300;0.9900;F
0;0.4900;0.7900;0.9000;0.5300;0.9900;F
50;0.6900;0.7900;0.5400;0.5300;0.9900;G
30;0.6630;0.7630;0.5130;0.5210;0.9630;G
1315.8400;0.2408;0.3890;0.2627;0.2963;0.2890;G
105000;0.6900;0.7900;0.5400;0.5300;0.9900;G
500;0.6910;0.7910;0.9009;0.5303;0.9910;F
15000;0.2742;0.4290;0.2991;0.3097;0.3290;G
6301;0.6230;0.7230;0.4730;0.5077;0.9230;G
1;0.6830;0.7830;0.5330;0.5277;0.9830;G
50;0.6850;0.7850;0.5350;0.5283;0.9850;G
35000;0.3367;0.2040;0.3673;0.3347;0.4040;F
100;0.0600;0.1720;0.0655;0.2240;0.0720;G
3400;0.0767;0.1920;0.0836;0.2307;0.0920;G
150;0.6910;0.7910;0.5410;0.5303;0.9910;G
35596.5000;0.2840;0.3840;0.5309;0.3947;0.5840;G
300;0.6830;0.7830;0.5330;0.5277;0.9830;G
3000;0.3058;0.4670;0.3336;0.3223;0.3670;G
2006;0.6380;0.7380;0.4880;0.5127;0.9380;G
3000;0.6860;0.7860;0.8964;0.5287;0.9860;F
44;0.6900;0.7900;0.5400;0.5300;0.9900;G
2000;0.0633;0.1760;0.0691;0.2253;0.0760;G
0;0.6250;0.7250;0.4750;0.5083;0.9250;G
95000;0.6710;0.7710;0.5210;0.9710;0.9710;G
170;0.6910;0.7910;0.5410;0.5303;0.9910;G
16400;0.6920;0.7920;0.5420;0.5307;0.9920;G
6100;0.4780;0.5780;0.3280;0.4593;0.7780;G
198;0.3650;0.2380;0.3982;0.3460;0.4380;G
6100;0.6020;0.7020;0.4520;0.5007;0.9020;G
7000;0.0083;0.1100;0.0091;0.2033;0.0100;G
3000;0.2983;0.4580;0.3255;0.3193;0.3580;G
510;0.6890;0.7890;0.5390;0.5297;0.9890;G
2945;0.1175;0.2410;0.1282;0.2470;0.1410;G
;0.3050;0.4660;0.3327;0.3220;0.3660;G
70;0.6910;0.7910;0.5410;0.5303;0.9910;G
3200;0.2125;0.3550;0.2318;0.2850;0.2550;F
6100;0.6910;0.7910;0.5410;0.5303;0.9910;G
95000;0.6880;0.7880;0.5380;0.5293;0.9880;G
1;0.5170;0.6170;0.3670;0.4723;0.8170;G
1;0.6540;0.7540;0.5040;0.5180;0.9540;G
1;0.6900;0.7900;0.5400;0.5300;0.9900;G
1500;0.0400;0.1480;0.0436;0.2160;0.0480;G
16;0.4780;0.7780;0.8891;0.5260;0.9780;F
200;0.1475;0.2770;0.1609;0.2590;0.1770;G
2256.0400;0.3530;0.4530;0.2030;0.4177;0.6530;G
20500;0.6900;0.7900;0.9000;0.5300;0.9900;F
300;0.6850;0.7850;0.5350;0.5283;0.9850;G
273;0.4133;0.2960;0.4509;0.3653;0.4960;G
4650;0.4840;0.5840;0.3340;0.4613;0.7840;G
3000;0.3008;0.4610;0.3282;0.3203;0.3610;G
50;0.6860;0.7860;0.5360;0.5287;0.9860;G
29620;0.0450;0.1540;0.0491;0.2180;0.0540;G
14560;0.4142;0.2970;0.4518;0.3657;0.4970;G
20160;0.1167;0.2400;0.1273;0.2467;0.1400;G
350;0.6910;0.7910;0.9009;0.5303;0.9910;F
1;0.6230;0.7230;0.4730;0.5077;0.9230;G
4954.4200;0.2900;0.4480;0.3164;0.3160;0.3480;G
1;0.6830;0.7830;0.5330;0.5277;0.9830;G
4105;0.6330;0.7330;0.4830;0.5110;0.9330;G
11965;0.2920;0.3920;0.5382;0.3973;0.5920;G
120;0.5940;0.6940;0.4440;0.4980;0.8940;G
530;0.4330;0.7330;0.8482;0.5110;0.9330;F
500;0.0408;0.1490;0.0445;0.2163;0.0490;F
3000;0.6850;0.7850;0.5350;0.5283;0.9850;G
200;0.6160;0.7160;0.4660;0.5053;0.9160;G
3000;0.3000;0.4600;0.3273;0.3200;0.3600;G
8300;0.6180;0.7180;0.4680;0.5060;0.9180;G
649;0.0800;0.1960;0.0873;0.2320;0.0960;G
4200;0.6900;0.7900;0.5400;0.5300;0.9900;G
3000;0.6940;0.7940;0.9036;0.5313;0.9940;F
569;0.6900;0.7900;0.5400;0.5300;0.9900;G
500;0.6930;0.7930;0.9027;0.5310;0.9930;F
195.2800;0.6900;0.7900;0.5400;0.5300;0.9900;G
4.2000;0.1467;0.2760;0.1600;0.2587;0.1760;G
8000;0.0675;0.1810;0.0736;0.2270;0.0810;G
;0.6400;0.7400;0.4900;0.5133;0.9400;G
;0.0542;0.1650;0.0591;0.2217;0.0650;G
3000;0.3075;0.4690;0.3355;0.3230;0.3690;G
6000;0.6910;0.7910;0.5410;0.5303;0.9910;G
162000;0.6570;0.7570;0.5070;0.9570;0.9570;G
15000;0.6660;0.7660;0.5160;0.9660;0.9660;G
411.2400;0.1583;0.2900;0.1727;0.2633;0.1900;G
42070.0500;0.0750;0.1900;0.0818;0.2300;0.0900;F
400;0.6910;0.7910;0.5410;0.5303;0.9910;G
3000;0.3008;0.4610;0.3282;0.3203;0.3610;G
;0.0758;0.1910;0.0827;0.2303;0.0910;G
162000;0.6880;0.7880;0.5380;0.5293;0.9880;G
14000;0.6850;0.7850;0.5350;0.5283;0.9850;G
578.7300;0.6910;0.7910;0.5410;0.5303;0.9910;G
57070.0500;0.0650;0.2780;0.0709;0.2260;0.0780;F
1200;0.6960;0.7960;0.9055;0.5320;0.9960;F
552;0.6820;0.7820;0.5320;0.5273;0.9820;G
74604.9000;0.1592;0.2910;0.1736;0.2637;0.1910;F
300;0.1250;0.2500;0.1364;0.2500;0.1500;G
626898.0900;0.1750;0.3100;0.1909;0.2700;0.2100;G
20700;0.1075;0.2290;0.1173;0.2430;0.1290;G
33936;0.3850;0.2620;0.4200;0.3540;0.4620;F
95000;0.3175;0.4810;0.3464;0.3270;0.3810;G
2400;0.0683;0.1820;0.0745;0.2273;0.0820;G
4668.6700;0.6590;0.7590;0.5090;0.5197;0.9590;G
2100;0.6910;0.7910;0.5410;0.5303;0.9910;G
95000;0.2750;0.4300;0.3000;0.3100;0.3300;G
243.0500;0.3020;0.6020;0.7291;0.4673;0.8020;F
200;0.6840;0.7840;0.5340;0.5280;0.9840;G
28500;0.6900;0.7900;0.5400;0.5300;0.9900;G
50;0.1400;0.2680;0.1527;0.2560;0.1680;G
800;0.6940;0.7940;0.9036;0.5313;0.9940;F
15000;0.6910;0.7910;0.9009;0.5303;0.9910;F
30;0.4540;0.7540;0.8673;0.5180;0.9540;F
30;0.4810;0.7810;0.8918;0.5270;0.9810;F
450;0.2040;0.5040;0.6400;0.4347;0.7040;F
0;0.4117;0.2940;0.2940;0.3647;0.4940;G
4653;0.6330;0.7330;0.4830;0.5110;0.9330;G
30;0.6910;0.7910;0.9009;0.5303;0.9910;F
30;0.6910;0.7910;0.9009;0.5303;0.9910;F
550;0.6910;0.7910;0.5410;0.5303;0.9910;G
4190.4700;0.6910;0.7910;0.5410;0.5303;0.9910;G
2000;0.6930;0.7930;0.5430;0.5310;0.9930;G
108540;0.2450;0.3940;0.2673;0.2980;0.2940;F
12508;0.2220;0.3220;0.4745;0.3740;0.5220;G
;0.4560;0.5560;0.3060;0.4520;0.7560;G
470;0.6910;0.7910;0.9009;0.5303;0.9910;F
500;0.6900;0.7900;0.5400;0.5300;0.9900;G
700;0.0408;0.1490;0.0445;0.2163;0.0490;G
;0.6390;0.7390;0.4890;0.5130;0.9390;G
10;0.3600;0.6600;0.7818;0.4867;0.8600;F
38650;0.6910;0.7910;0.5410;0.5303;0.9910;G
300;0.6910;0.7910;0.5410;0.5303;0.9910;G
198465.4800;0.1017;0.2220;0.1109;0.2407;0.1220;G
3000;0.6910;0.7910;0.5410;0.5303;0.9910;G
100;0.1358;0.2630;0.1482;0.2543;0.1630;G
913;0.6790;0.7790;0.5290;0.5263;0.9790;G
4000;0.6910;0.7910;0.5410;0.5303;0.9910;G
19260.9400;0.4750;0.5750;0.3250;0.4583;0.7750;G
40629.0900;0.4058;0.2870;0.4427;0.3623;0.4870;F
;0.5670;0.6670;0.4170;0.4890;0.8670;G
100;0.6860;0.7860;0.8964;0.5287;0.9860;F
722.2000;0.0117;0.1140;0.0127;0.2047;0.0140;G
100;0.6880;0.7880;0.5380;0.5293;0.9880;G
;0.3630;0.4630;0.2130;0.4210;0.6630;G
37500;0.2220;0.5220;0.6564;0.4407;0.7220;F
10;0.4030;0.5030;0.2530;0.4343;0.7030;G
20;0.4030;0.5030;0.2530;0.4343;0.7030;G
50;0.6840;0.7840;0.5340;0.5280;0.9840;G
;0.6590;0.7590;0.5090;0.5197;0.9590;G
105000;0.6920;0.7920;0.5420;0.5307;0.9920;G
1;0.5730;0.6730;0.4230;0.4910;0.8730;G
108540;0.1733;0.4080;0.0080;0.2693;0.2080;F
3000;0.6880;0.7880;0.8982;0.5293;0.9880;F
22100;0.6510;0.7510;0.5010;0.9510;0.9510;G
100;0.0508;0.1610;0.0555;0.2203;0.0610;G
150;0.0558;0.1670;0.0609;0.2223;0.0670;G
25000;0.6670;0.7670;0.5170;0.9670;0.9670;G
1;0.6360;0.7360;0.4860;0.5120;0.9360;G
;0.6680;0.7680;0.5180;0.5227;0.9680;G
250;0.0242;0.1290;0.0264;0.2097;0.0290;G
100;0.3433;0.2120;0.2120;0.3373;0.4120;G
;0.6500;0.7500;0.5000;0.5167;0.9500;G
1780;0.0450;0.1540;0.0491;0.2180;0.0540;G
0;0.3883;0.2660;0.4236;0.3553;0.4660;G
24000;0.2600;0.4120;0.2836;0.3040;0.3120;G
57993;0.6850;0.7850;0.5350;0.5283;0.9850;G
90;0.0358;0.1430;0.0391;0.2143;0.0430;G
50;0.6900;0.7900;0.5400;0.5300;0.9900;G
600;0.0125;0.1150;0.0136;0.2050;0.0150;G
150;0.5440;0.6440;0.3940;0.4813;0.8440;G
;0.6920;0.7920;0.5420;0.5307;0.9920;G
15500;0.2983;0.4580;0.3255;0.3193;0.3580;G
150;0.6320;0.7320;0.4820;0.5107;0.9320;G
200;0.0317;0.1380;0.0345;0.2127;0.0380;G
150;0.6830;0.7830;0.5330;0.5277;0.9830;G
32200;0.6590;0.7590;0.5090;0.9590;0.9590;G
25000;0.6920;0.7920;0.5420;0.5307;0.9920;G
546200;0.3820;0.6820;0.8018;0.4940;0.8820;F
;0.6750;0.7750;0.5250;0.9750;0.9750;G
2366;0.6830;0.7830;0.5330;0.5277;0.9830;G
30346.0600;0.2375;0.3850;0.2591;0.2950;0.2850;G
;0.6800;0.7800;0.5300;0.9800;0.9800;G
17800;0.1642;0.2970;0.1791;0.2657;0.1970;G
;0.6840;0.7840;0.5340;0.5280;0.9840;G
14000;0.2067;0.3480;0.2255;0.2827;0.2480;G
31000;0.0775;0.1930;0.0845;0.2310;0.0930;G
32200;0.6820;0.7820;0.5320;0.5273;0.9820;G
800;0.4050;0.2860;0.2860;0.3620;0.4860;G
100;0.6920;0.7920;0.5420;0.5307;0.9920;G
671.6400;0.3350;0.4350;0.1850;0.4117;0.6350;G
2;0.6890;0.7890;0.5390;0.5297;0.9890;G
671.6400;0.3930;0.4930;0.2430;0.4310;0.6930;G
25000;0.6920;0.7920;0.5420;0.5307;0.9920;G
;0.6900;0.7900;0.5400;0.5300;0.9900;G
17000;0.3233;0.4880;0.3527;0.3293;0.3880;F
;0.1867;0.3240;0.2036;0.2747;0.2240;G
2500;0.6870;0.7870;0.8973;0.5290;0.9870;F
0.0800;0.6150;0.7150;0.4650;0.5050;0.9150;G
14000;0.6850;0.7850;0.8955;0.5283;0.9850;F
;0.6910;0.7910;0.5410;0.5303;0.9910;G
;0.1250;0.2500;0.1364;0.2500;0.1500;G
50;0.3190;0.4190;0.5627;0.4063;0.6190;F
;0.3670;0.4670;0.2170;0.4223;0.6670;G
500;0.4083;0.2900;0.4455;0.3633;0.4900;G
48000;0.6060;0.7060;0.4560;0.5020;0.9060;G
;0.0617;0.1740;0.0673;0.2247;0.0740;G
20160;0.2258;0.3710;0.2464;0.2903;0.2710;G
;0.6850;0.7850;0.5350;0.5283;0.9850;G
3019.2500;0.3892;0.2670;0.4245;0.3557;0.4670;G
29999.9000;0.4167;0.3000;0.4545;0.3667;0.5000;G
;0.4380;0.5380;0.2880;0.4460;0.7380;G
18700;0.6750;0.7750;0.5250;0.9750;0.9750;G
29999.9000;0.3120;0.4120;0.1620;0.4040;0.6120;G
7500;0.6900;0.7900;0.5400;0.5300;0.9900;G
5000;0.3420;0.4420;0.1920;0.4140;0.6420;G
95000;0.6850;0.7850;0.5350;0.5283;0.9850;G
300;0.0925;0.2110;0.1009;0.2370;0.1110;G
2500;0.0225;0.1270;0.0245;0.2090;0.0270;G
7800;0.0225;0.1270;0.0245;0.2090;0.0270;G
0;0.3583;0.2300;0.3909;0.3433;0.4300;G
1200;0.1667;0.3000;0.1818;0.2667;0.2000;G
30;0.3083;0.4700;0.3364;0.3233;0.3700;F
800;0.6910;0.7910;0.5410;0.5303;0.9910;G
56114.7700;0.3333;0.5000;0.3636;0.3333;0.4000;G
3000;0.3742;0.2490;0.4082;0.3497;0.4490;G
400;0.5510;0.6510;0.4010;0.4837;0.8510;G
0;0.2560;0.3560;0.3560;0.3853;0.5560;G
40;0.6890;0.7890;0.5390;0.5297;0.9890;G
0;0.3830;0.6830;0.8027;0.4943;0.8830;F
1;0.3760;0.4760;0.2260;0.4253;0.6760;G
150;0.1458;0.2750;0.1591;0.2583;0.1750;G
61956;0.2940;0.3940;0.3940;0.3980;0.5940;G
264.0500;0.6880;0.7880;0.5380;0.5293;0.9880;G
400;0.6340;0.7340;0.4840;0.5113;0.9340;G
3000;0.6860;0.7860;0.8964;0.5287;0.9860;F
0;0.6360;0.7360;0.8509;0.5120;0.9360;F
51757;0.6600;0.7600;0.5100;0.9600;0.9600;G
100;0.6820;0.7820;0.5320;0.5273;0.9820;G
7900;0.6910;0.7910;0.5410;0.5303;0.9910;G
400;0.6830;0.7830;0.5330;0.5277;0.9830;G
250;0.0683;0.1820;0.0745;0.2273;0.0820;G
40;0.6180;0.7180;0.4680;0.5060;0.9180;G
50;0.6910;0.7910;0.5410;0.5303;0.9910;G
;0.0767;0.1920;0.0836;0.2307;0.0920;G
5000;0.0417;0.1500;0.0455;0.2167;0.0500;G
;0.4075;0.2890;0.4445;0.3630;0.4890;G
801;0.0683;0.1820;0.0745;0.2273;0.0820;G
2350;0.4910;0.7910;0.9009;0.5303;0.9910;F
130;0.6700;0.7700;0.5200;0.5233;0.9700;G
440;0.6900;0.7900;0.5400;0.5300;0.9900;G
;0.6900;0.7900;0.5400;0.5300;0.9900;G
800;0.6920;0.7920;0.5420;0.5307;0.9920;G
300;0.6910;0.7910;0.5410;0.5303;0.9910;G
4023.6800;0.0617;0.1740;0.0673;0.2247;0.0740;G
;0.5700;0.6700;0.4200;0.4900;0.8700;G
2000;0.6930;0.7930;0.9027;0.5310;0.9930;F
149.3300;0.2858;0.4430;0.3118;0.3143;0.3430;G
40;0.6910;0.7910;0.5410;0.5303;0.9910;G
150;0.6890;0.7890;0.5390;0.5297;0.9890;G
100;0.3480;0.4480;0.1980;0.4160;0.6480;G
4840.9600;0.0158;0.1190;0.0173;0.2063;0.0190;G
1738.7100;0.2358;0.3830;0.2573;0.2943;0.2830;G
;0.6620;0.7620;0.5120;0.5207;0.9620;G
5000;0.1175;0.2410;0.1282;0.2470;0.1410;G
;0.1825;0.3190;0.1991;0.2730;0.2190;G
51757;0.6870;0.7870;0.5370;0.5290;0.9870;G
18610.8000;0.6900;0.7900;0.5400;0.5300;0.9900;G
650;0.6910;0.7910;0.5410;0.5303;0.9910;G
255.4800;0.6900;0.7900;0.5400;0.5300;0.9900;G
8000;0.6330;0.7330;0.4830;0.5110;0.9330;G
0;0.2290;0.3290;0.3290;0.3763;0.5290;G
10;0.6860;0.7860;0.5360;0.5287;0.9860;G
10500;0.4075;0.2890;0.4445;0.3630;0.4890;G
15000;0.6760;0.7760;0.5260;0.9760;0.9760;G
10;0.6900;0.7900;0.5400;0.5300;0.9900;G
100;0.1358;0.2630;0.1482;0.2543;0.1630;G
100;0.3167;0.4800;0.3455;0.3267;0.3800;G
707.2700;0.0892;0.2070;0.0973;0.2357;0.1070;G
;0.5430;0.6430;0.3930;0.4810;0.8430;G
200;0.6900;0.7900;0.5400;0.5300;0.9900;G
;0.6370;0.7370;0.4870;0.5123;0.9370;G
758;0.2458;0.3950;0.2682;0.2983;0.2950;G
100;0.0775;0.1930;0.0845;0.2310;0.0930;G
1800;0.0083;0.1100;0.0091;0.2033;0.0100;G
76;0.0808;0.1970;0.0882;0.2323;0.0970;G
200;0.1775;0.3130;0.1936;0.2710;0.2130;G
;0.0992;0.2190;0.1082;0.2397;0.1190;G
63018.9700;0.0817;0.1980;0.0891;0.2327;0.0980;F
100;0.6910;0.7910;0.5410;0.5303;0.9910;G
0.4900;0.5720;0.6720;0.4220;0.4907;0.8720;G
0.4900;0.6420;0.7420;0.4920;0.5140;0.9420;G
100;0.1108;0.2330;0.1209;0.2443;0.1330;G
;0.6390;0.7390;0.4890;0.5130;0.9390;G
0.4900;0.6860;0.7860;0.5360;0.5287;0.9860;G
;0.0350;0.1420;0.0382;0.2140;0.0420;G
;0.6830;0.7830;0.5330;0.5277;0.9830;G
;0.6930;0.7930;0.5430;0.5310;0.9930;G
1000;0.5980;0.6980;0.4480;0.4993;0.8980;G
;0.6840;0.7840;0.5340;0.5280;0.9840;G
50;0.4770;0.7770;0.8882;0.5257;0.9770;F
1000;0.0733;0.1880;0.0800;0.2293;0.0880;G
2.9000;0.3550;0.6550;0.7773;0.4850;0.8550;F
82000;0.6910;0.7910;0.5410;0.5303;0.9910;G
7;0.6920;0.7920;0.5420;0.5307;0.9920;G
37000;0.1292;0.2550;0.1409;0.2517;0.1550;F
100;0.5430;0.6430;0.3930;0.4810;0.8430;G
2602.5100;0.3675;0.2410;0.4009;0.3470;0.4410;F
1.7500;0.4010;0.7010;0.8191;0.5003;0.9010;F
3000;0.6860;0.7860;0.5360;0.5287;0.9860;G
0;0.0983;0.2180;0.1073;0.2393;0.1180;G
443.0800;0.0758;0.1910;0.0827;0.2303;0.0910;G
2400;0.4210;0.5210;0.5210;0.4403;0.7210;F
1050;0.4930;0.7930;0.9027;0.5310;0.9930;F
;0.4100;0.2920;0.2920;0.3640;0.4920;G
23600;0.1475;0.2770;0.1609;0.2590;0.1770;G
13000;0.3592;0.2310;0.3918;0.3437;0.4310;F
473.0800;0.0208;0.1250;0.0227;0.2083;0.0250;G
0;0.6920;0.7920;0.9018;0.5307;0.9920;F
0.6000;0.1608;0.2930;0.1755;0.2643;0.1930;G
3000;0.6900;0.7900;0.5400;0.5300;0.9900;G
